Epoch 1 Step 20/506  loss=0.451181  lr=1.976e-04
Epoch 1 Step 40/506  loss=0.322550  lr=3.953e-04
Epoch 1 Step 60/506  loss=0.271163  lr=5.929e-04
Epoch 1 Step 80/506  loss=0.240568  lr=7.905e-04
Epoch 1 Step 100/506  loss=0.218479  lr=9.881e-04
Epoch 1 Step 120/506  loss=0.201196  lr=1.186e-03
Epoch 1 Step 140/506  loss=0.184223  lr=1.383e-03
Epoch 1 Step 160/506  loss=0.169002  lr=1.581e-03
Epoch 1 Step 180/506  loss=0.155864  lr=1.779e-03
Epoch 1 Step 200/506  loss=0.144731  lr=1.976e-03
Epoch 1 Step 220/506  loss=0.135327  lr=2.174e-03
Epoch 1 Step 240/506  loss=0.127340  lr=2.372e-03
Epoch 1 Step 260/506  loss=0.120532  lr=2.569e-03
Epoch 1 Step 280/506  loss=0.114686  lr=2.767e-03
Epoch 1 Step 300/506  loss=0.109490  lr=2.964e-03
Epoch 1 Step 320/506  loss=0.104921  lr=3.162e-03
Epoch 1 Step 340/506  loss=0.100693  lr=3.360e-03
Epoch 1 Step 360/506  loss=0.096846  lr=3.557e-03
Epoch 1 Step 380/506  loss=0.093251  lr=3.755e-03
Epoch 1 Step 400/506  loss=0.090348  lr=3.953e-03
Epoch 1 Step 420/506  loss=0.087506  lr=4.150e-03
Epoch 1 Step 440/506  loss=0.085028  lr=4.348e-03
Epoch 1 Step 460/506  loss=0.082602  lr=4.545e-03
Epoch 1 Step 480/506  loss=0.080299  lr=4.743e-03
Epoch 1 Step 500/506  loss=0.078055  lr=4.941e-03
Epoch 1 completed in 635.2s  avg_loss=0.077391  lr=5.000e-03

Validation loss: 0.006181

Epoch 2 Step 20/506  loss=0.020644  lr=5.000e-03
Epoch 2 Step 40/506  loss=0.020613  lr=5.000e-03
Epoch 2 Step 60/506  loss=0.020299  lr=5.000e-03
Epoch 2 Step 80/506  loss=0.019800  lr=4.999e-03
Epoch 2 Step 100/506  loss=0.019496  lr=4.999e-03
Epoch 2 Step 120/506  loss=0.019168  lr=4.998e-03
Epoch 2 Step 140/506  loss=0.018798  lr=4.997e-03
Epoch 2 Step 160/506  loss=0.018554  lr=4.997e-03
Epoch 2 Step 180/506  loss=0.018253  lr=4.996e-03
Epoch 2 Step 200/506  loss=0.018091  lr=4.995e-03
Epoch 2 Step 220/506  loss=0.018010  lr=4.994e-03
Epoch 2 Step 240/506  loss=0.017852  lr=4.992e-03
Epoch 2 Step 260/506  loss=0.017633  lr=4.991e-03
Epoch 2 Step 280/506  loss=0.017399  lr=4.990e-03
Epoch 2 Step 300/506  loss=0.017230  lr=4.988e-03
Epoch 2 Step 320/506  loss=0.017044  lr=4.986e-03
Epoch 2 Step 340/506  loss=0.016901  lr=4.985e-03
Epoch 2 Step 360/506  loss=0.016729  lr=4.983e-03
